key,value,date
Tunisia to United States,4,2000
Tanzania to United States,9136,2000
Uganda to United States,0,2000
South Africa to United States,7440,2000
Zambia to United States,92,2000
Zimbabwe to United States,17696,2000
Albania to United States,2187,2000
Austria to United States,3,2000
Belgium to United States,0,2000
Bulgaria to United States,0,2000
Bosnia & Herzegovina to United States,312,2000
Switzerland to United States,7,2000
Channel Islands to United States,0,2000
Czech Republic to United States,2524,2000
Germany to United States,143,2000
Denmark to United States,0,2000
Spain to United States,0,2000
Finland to United States,0,2000
France to United States,82,2000
United Kingdom to United States,4092,2000
Greece to United States,88,2000
Croatia to United States,473,2000
Hungary to United States,0,2000
Ireland to United States,7,2000
Iceland to United States,0,2000
Italy to United States,6,2000
Luxembourg to United States,1,2000
Macedonia to United States,394,2000
Malta to United States,0,2000
Montenegro to United States,1992,2000
Netherlands to United States,125,2000
Norway to United States,61,2000
Poland to United States,3,2000
Portugal to United States,26,2000
Romania to United States,0,2000
Serbia to United States,1556,2000
Slovakia to United States,787,2000
Slovenia to United States,292,2000
Sweden to United States,0,2000
Armenia to United States,360,2000
Azerbaijan to United States,0,2000
Belarus to United States,2355,2000
Estonia to United States,0,2000
Georgia to United States,4334,2000
Kazakhstan to United States,6149,2000
Kyrgyzstan to United States,1060,2000
Lithuania to United States,1608,2000
Latvia to United States,85,2000
Moldova to United States,10888,2000
Russia to United States,159,2000
Tajikistan to United States,1389,2000
Turkmenistan to United States,597,2000
Ukraine to United States,2560,2000
Uzbekistan to United States,20783,2000
United Arab Emirates to United States,7756,2000
Bahrain to United States,1284,2000
Cyprus to United States,0,2000
Iraq to United States,11477,2000
Israel to United States,220,2000
Jordan to United States,29891,2000
Kuwait to United States,3890,2000
Lebanon to United States,728,2000
Oman to United States,4758,2000
Palestine to United States,5747,2000
Qatar to United States,793,2000
Saudi Arabia to United States,22598,2000
Syria to United States,0,2000
Turkey to United States,280,2000
Yemen to United States,17732,2000
Afghanistan to United States,0,2000
Bangladesh to United States,84997,2000
Bhutan to United States,0,2000
India to United States,638048,2000
Iran to United States,4671,2000
Sri Lanka to United States,10454,2000
Maldives to United States,1328,2000
Nepal to United States,39399,2000
Pakistan to United States,83620,2000
China to United States,796005,2000
Hong Kong to United States,58203,2000
Japan to United States,63936,2000
South Korea to United States,257579,2000
Macao to United States,1868,2000
Mongolia to United States,29,2000
North Korea to United States,0,2000
Brunei to United States,6698,2000
Indonesia to United States,65445,2000
Cambodia to United States,0,2000
Laos to United States,0,2000
Myanmar to United States,40901,2000
Malaysia to United States,50379,2000
Philippines to United States,429262,2000
Singapore to United States,11601,2000
Thailand to United States,20845,2000
Timor-Leste to United States,146,2000
Vietnam to United States,196708,2000
Australia to United States,6388,2000
Fiji to United States,13658,2000
Micronesia to United States,7772,2000
Guam to United States,16,2000
New Caledonia to United States,259,2000
New Zealand to United States,2146,2000
Papua New Guinea to United States,517,2000
French Polynesia to United States,1,2000
Solomon Islands to United States,18,2000
Tonga to United States,1937,2000
Vanuatu to United States,0,2000
Samoa to United States,10,2000
Aruba to United States,0,2000
Argentina to United States,25251,2000
Bahamas to United States,3275,2000
Belize to United States,6143,2000
Bolivia to United States,8869,2000
Brazil to United States,85192,2000
Barbados to United States,0,2000
Chile to United States,10604,2000
Colombia to United States,0,2000
Costa Rica to United States,7974,2000
Cuba to United States,77082,2000
Dominican Republic to United States,89866,2000
Ecuador to United States,0,2000
Guadeloupe to United States,567,2000
Grenada to United States,2170,2000
Guatemala to United States,281174,2000
French Guiana to United States,13,2000
Guyana to United States,3073,2000
Honduras to United States,129335,2000
Haiti to United States,92782,2000
Jamaica to United States,60529,2000
Saint Lucia to United States,305,2000
Mexico to United States,2677763,2000
Martinique to United States,180,2000
Nicaragua to United States,89242,2000
Panama to United States,5650,2000
Peru to United States,180295,2000
Puerto Rico to United States,112625,2000
Paraguay to United States,102,2000
El Salvador to United States,329875,2000
Suriname to United States,0,2000
Trinidad & Tobago to United States,79,2000
Uruguay to United States,12592,2000
Saint Vincent & Grenadines to United States,2313,2000
Venezuela to United States,12133,2000
Virgin Islands to United States,330,2000
Canada to United States,28,2005
United States to United States,0,2005
Angola to United States,0,2005
Burundi to United States,0,2005
Benin to United States,23,2005
Burkina Faso to United States,1368,2005
Botswana to United States,137,2005
Central African Republic to United States,6,2005
Ivory Coast to United States,18514,2005
Cameroon to United States,19816,2005
DR Congo to United States,225,2005
Congo to United States,0,2005
Comoros to United States,0,2005
Cape Verde to United States,1427,2005
Djibouti to United States,5,2005
Algeria to United States,0,2005
Egypt to United States,26385,2005
Eritrea to United States,13,2005
Western Sahara to United States,0,2005
Ethiopia to United States,57079,2005
Gabon to United States,159,2005
Ghana to United States,41874,2005
Guinea to United States,13927,2005
Gambia to United States,1502,2005
Guinea-Bissau to United States,15,2005
Equatorial Guinea to United States,0,2005
Kenya to United States,38282,2005
Liberia to United States,1377,2005
Libya to United States,229,2005
Lesotho to United States,20,2005
Morocco to United States,13310,2005
Madagascar to United States,0,2005
Mali to United States,407,2005
Mozambique to United States,955,2005
Mauritania to United States,17,2005
Mauritius to United States,0,2005
Malawi to United States,233,2005
Mayotte to United States,0,2005
Namibia to United States,0,2005
Niger to United States,148,2005
Nigeria to United States,103012,2005
Reunion to United States,9,2005
Rwanda to United States,0,2005
Sudan to United States,40912,2005
Senegal to United States,2519,2005
Sierra Leone to United States,18,2005
Somalia to United States,28767,2005
South Sudan to United States,0,2005
Sao Tome & Principe to United States,7,2005
Swaziland to United States,0,2005
Chad to United States,1895,2005
Togo to United States,77,2005
Tunisia to United States,5,2005
Tanzania to United States,0,2005
Uganda to United States,0,2005
South Africa to United States,11519,2005
Zambia to United States,1,2005
Zimbabwe to United States,20637,2005
Albania to United States,0,2005
Austria to United States,0,2005
Belgium to United States,0,2005
Bulgaria to United States,0,2005
Bosnia & Herzegovina to United States,1,2005
Switzerland to United States,16,2005
Channel Islands to United States,0,2005
Czech Republic to United States,0,2005
Germany to United States,68,2005
Denmark to United States,0,2005
Spain to United States,0,2005
Finland to United States,0,2005
France to United States,547,2005
United Kingdom to United States,2196,2005
Greece to United States,124,2005
Croatia to United States,0,2005
Hungary to United States,0,2005
Ireland to United States,17,2005
Iceland to United States,1,2005
Italy to United States,4,2005
Luxembourg to United States,0,2005
Macedonia to United States,0,2005
Malta to United States,0,2005
Montenegro to United States,0,2005
Netherlands to United States,141,2005
Norway to United States,2,2005
Poland to United States,1,2005
Portugal to United States,116,2005
Romania to United States,0,2005
Serbia to United States,0,2005
Slovakia to United States,2,2005
Slovenia to United States,5,2005
Sweden to United States,0,2005
Armenia to United States,4,2005
Azerbaijan to United States,0,2005
Belarus to United States,0,2005
Estonia to United States,0,2005
Georgia to United States,778,2005
Kazakhstan to United States,3347,2005
Kyrgyzstan to United States,32,2005
Lithuania to United States,0,2005
Latvia to United States,0,2005
Moldova to United States,2788,2005
Russia to United States,181,2005
Tajikistan to United States,521,2005
Turkmenistan to United States,1,2005
Ukraine to United States,0,2005
Uzbekistan to United States,9373,2005
United Arab Emirates to United States,11196,2005
Bahrain to United States,0,2005
Cyprus to United States,0,2005
Iraq to United States,89,2005
Israel to United States,167,2005
Jordan to United States,18567,2005
Kuwait to United States,2156,2005
Lebanon to United States,1603,2005
Oman to United States,730,2005
Palestine to United States,1126,2005
Qatar to United States,0,2005
Saudi Arabia to United States,36710,2005
Syria to United States,22566,2005
Turkey to United States,0,2005
Yemen to United States,20903,2005
Afghanistan to United States,13781,2005
Bangladesh to United States,128303,2005
Bhutan to United States,0,2005
India to United States,701242,2005
Iran to United States,68345,2005
Sri Lanka to United States,15766,2005
Maldives to United States,1064,2005
Nepal to United States,48919,2005
Pakistan to United States,147652,2005
China to United States,615536,2005
Hong Kong to United States,21007,2005
Japan to United States,3128,2005
South Korea to United States,176430,2005
Macao to United States,558,2005
Mongolia to United States,10,2005
North Korea to United States,0,2005
Brunei to United States,5321,2005
Indonesia to United States,65117,2005
Cambodia to United States,22152,2005
Laos to United States,0,2005
Myanmar to United States,28118,2005
Malaysia to United States,54160,2005
Philippines to United States,373024,2005
Singapore to United States,3738,2005
Thailand to United States,68083,2005
Timor-Leste to United States,1661,2005
Vietnam to United States,172530,2005
Australia to United States,308,2005
Fiji to United States,4609,2005
Micronesia to United States,7405,2005
Guam to United States,120,2005
New Caledonia to United States,374,2005
New Zealand to United States,2665,2005
Papua New Guinea to United States,325,2005
French Polynesia to United States,5,2005
Solomon Islands to United States,20,2005
Tonga to United States,1525,2005
Vanuatu to United States,1,2005
Samoa to United States,7,2005
Aruba to United States,0,2005
Argentina to United States,28117,2005
Bahamas to United States,4563,2005
Belize to United States,3878,2005
Bolivia to United States,11768,2005
Brazil to United States,75163,2005
Barbados to United States,0,2005
Chile to United States,13056,2005
Colombia to United States,28,2005
Costa Rica to United States,7585,2005
Cuba to United States,118560,2005
Dominican Republic to United States,95233,2005
Ecuador to United States,101,2005
Guadeloupe to United States,900,2005
Grenada to United States,2110,2005
Guatemala to United States,196146,2005
French Guiana to United States,343,2005
Guyana to United States,5744,2005
Honduras to United States,83578,2005
Haiti to United States,133517,2005
Jamaica to United States,76052,2005
Saint Lucia to United States,494,2005
Mexico to United States,1957397,2005
Martinique to United States,164,2005
Nicaragua to United States,82311,2005
Panama to United States,2863,2005
Peru to United States,194181,2005
Puerto Rico to United States,104291,2005
Paraguay to United States,0,2005
El Salvador to United States,268935,2005
Suriname to United States,164,2005
Trinidad & Tobago to United States,168,2005
Uruguay to United States,7926,2005
Saint Vincent & Grenadines to United States,2205,2005
Venezuela to United States,11808,2005
Virgin Islands to United States,330,2005
